Facial Oils for Acne Prone Skin,Price ($),Rating,#Reviews,Ingredients
Leven Rose Cold Pressed Unrefined Jojoba Oil,13.97,5,51,100% pure-unrefined-organic-cold-pressed Jojoba Oil - Simmondsia Chinensis
Timeless Skin Care Squalene,9.95,4.7,9,100% Pure olive derived squalane.
RMS Beauty Oil ,78,5,5,"*Golden Simmondsia Chinensis (Jojoba) Seed Oil, *Rosa Mosqueta (Rosehip) Seed Oil, Herbs Infused in *Golden Simmondsia Chinensis (Jojoba) Seed Oil: *Hypericum Perforatum (St. John’s Wort), *Equisetum Arvense (Horsetail), *Calendula Officinalis (Marigold), *Hemidesmus Indicus (Country Sarsaparilla), *Curcuma Longa (Turmeric), *Withania Somnifara (Ashwagandha),*Glycyrrhiza Glabia (Licorice), *Olea Europaea (Olive Leaf), **Buriti (Mauritia Flexuosa) Oil, *Calophyllum Inophyllum (Tamanu) Seed Oil, Tocopherol (non-GMO), *Vanilla Planifolia (Vanilla) Extract "
Tata Harper Retinoic Nutrient Face Oil ,125,4.5,29,"Rosa Rubiginosa Seed Oil*, Olea Europaea (Olive) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Prunus armeniaca (Apricot) Kernel Oil*, Sambucus Nigra Fruit Extract, Calendula officinalis (Calendula) Flower Extract*, Borago officinalis (Borage) Leaf Extract, Medicago sativa (Alfalfa) Extract*, Arnica montana (Arnica) Extract*, Tilia europaea (Linden) Leaf & Flower Extract*, Aroma**, Benzyl Alcohol, Citral, Citronellol, Geraniol, Limonene, Linalool"
Éminence Organic Skin Care Facial Recovery Oil,72,5,3,"Olive Oil, Sesame Oil , Sage Leaf Extract, Coriander Extract, Tea Tree Oil, Tocopherol (Vitamin E), Rue Extract, Eucalyptus Oil, Rosemary Oil, Ylang Ylang Oil, Clary Sage Oil, Olive Oil, Sesame Oil , Sage Leaf Extract, Coriander Extract, Tea Tree Oil, Tocopherol (Vitamin E), Rue Extract, Eucalyptus Oil, Rosemary Oil, Ylang Ylang Oil, Clary Sage Oil."
Pai Rosehip BioRegenerate Oil,40,4.3,13,"Rosa Canina Seed Extract* - Rosehip Seed Extract, Rosa Canina Fruit Extract* - Rosehip Fruit Extract, Tocopherol - Natural Vitamin E, Rosmarinus Officinalis Leaf Extract* - Rosemary Extract "
John Masters Organics Pomegranate Facial Nourishing Oil,30,4.8,13,"Helianthus Annuus (Sunflower) Seed Oil*, Lavandula Angustifolia (Lavender) Oil*, Rosmarinus Officinalis (Rosemary) Leaf/Stem Oil*, Punica Granatum Seed Oil (Pomegranate)*, Oenothera Biennis (Evening Primrose) Oil*, Olea Europaea (Olive) Fruit Oil*, Cananga Odorata Flower Oil (Ylang Ylang)*, Salvia Sclarea Oil (Sage Clary)*, Pelargonium Graveolens Flower Oil (Geranium)*, Citrus Reticulata (Tangerine) Peel Oil*, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil*, Linalool †, Limonene †, Geraniol †"
Dr. Hauschka Clarifying Day Oil,45,4.3,12,"Anthyllis Vulneraria Extract, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Arachis Hypogaea (Peanut) Oil, Daucus Carota Sativa (Carrot) Root Extract, Hypericum Perforatum Flower/Leaf/Stem Extract, Helianthus Annuus (Sunflower) Seed Oil, Calendula Officinalis Flower Extract, Triticum Vulgare (Wheat) Germ Oil, Melia Azadirachta Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Triticum Vulgare (Wheat) Bran Extract, Fragrance (Parfum), Linalool, Citronellol, Citral, Geraniol, Farnesol, Benzyl Benzoate, Limonene, Eugenol, Benzyl Salicylate, Lecithin, Theobroma Cacao (Cocoa) Seed Butter."
tarte Maracuja Oil,48,4.4,29388,"Passiflora Edulis Seed Oil, Tocopherol."
Josie Maran Argan Oil,49,4.4,11019,Organic Argania Spinosa (Argan) Kernel Oil
fresh Seaberry Moisturizing Face Oil,53,4.4,2054,"Vitis Vinifera (Grape) Seed Oil, Camellia Oleifera Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Hippophae Rhamnoides Oil, Ros- marinus Officinalis (Rosemary) Leaf Extract, Vaccinium Macrocarpon (Cran- berry) Seed Oil, Tocopheryl Acetate, Tocopherol, Ascorbyl Tetraisopalmitate, Parfum (Fragrance), BHT, Linalool, Limonene, Citral, Coumarin, Geraniol."
Boots Botanics Organics Facial Oil,17.99,4.2,553,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Argania Spinosa Kernel Oil, Rosa Canina Fruit Oil, Limonene, Citronellol, Pelargonium Graveolens Leaf Oil, Geraniol, Citrus Aurantium Sinensis Peel Extract, Linalool, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citral, Citrus Limon (Lemon) Peel Oil"
"Rosehip Seed Oil by Kate Blanc. USDA Certified Organic, 100% Pure, Cold Pressed,",13.95,4.6,25,Rose Hip Seed Oil
Sunday Riley Luna Sleeping Night Oil,55,4.3,7391,"Persea Gratissima (Extra Virgin-Cold Pressed Avocado) Oil, Vitis Vinifera (Organic-Cold Pressed Concord Grape) Seed Oil, Rubus Fruticosus (Cold Pressed Blackberry) Seed Oil, Salvia Hispanica (Cold Pressed Chia) Oil, Dimethyl Isosorbide, Hydroxypinacolone Retinoate, Chamomilla Recutita (Matricaria) Flower Oil, Tanecetum annuum (Blue Tansy) oil, Anthemis nobilis (English Chamomile) oil, Eriocephalus punctulatus (Cape Chamomile) oil, Citrus Aurantium Amara (Neroli) Oil, Citrus Aurantium Dulcis (Blood Orange) oil, Cananga Odorata Flower (Ylang Ylang) Oil, Vetivera zizanoides (Vetiver) oil, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus officinalis (Rosemary) Leaf Extract, CI 61565 (Green 6), CI 60725 (Violet 2)."
Josie Maran Argan Oil,17,4.4,11057,Argan Oil
THE BODY SHOP® Oils Of Life™ Intensely Revitalizing Facial Oil,39,4.2,2673,"Caprylic/Capric Triglyceride, Olea Europaea Fruit Oil, Simmondsia Chinensis Seed Oil, Camelina Sativa Seed Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Nigella Sativa Seed Oil, Parfum, Tocopherol, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Limonene, Linalool, Citronellol, Geraniol, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis Leaf Oil, Origanum Majorana Leaf Oil, Anthemis Nobilis Flower Oil, Coumarin, Lavandula Angustifolia Oil, Lavandula Hybrida Oil, Citral, Citrus Aurantium Dulcis Peel Oil"
The Ordinary. 100% Organic Cold-Pressed Rose Hip Seed Oil,9.8,4.5,1641,Rose Hip Seed Oil
Sunday Riley Juno Antioxidant And Superfood Face Oil,36,4.5,806,"Rubus Fruticosus (Cold Pressed Blackberry) Seed Oil, Vaccinium Corymbosum (Cold Pressed Blueberry) Seed Oil, Vitis Vinifera (Cold Pressed Chardonnay Grape Seed Oil) Seed Oil, Vaccinium Macrocarpon (Cold Pressed Cranberry) Seed Oil, Rubus Idaeus (Cold Pressed Red Raspberry) Seed Oil, Daucus Carota Sativa (Cold Pressed Wild Carrot) Seed Oil, Nigella Sativa (Cold Pressed Black Cumin) Seed Oil, Brassica Oleracea Italic (Cold Pressed Broccoli) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil"
KORRES WILD ROSE Advanced Brightening & Nourishing Face Oil,54,4.5,630,"Isoamyl Laurate, Caprylic/Capric Triglyceride, Prunus Armeniaca (Apricot) Kernel Oil, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Ascorbyl Tetraisopalmitate, Dimethyl Isosorbide, Rosa Canina Fruit Oil, Rosa Gallica Flower Powder, Alcohol Denat., Alpha-Isomethyl Ionone, Water, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Bisabolol, Butylphenyl Methylpropional, Citronellol, Eugenol, Geraniol, Glyceryl Caprylate, Hexyl Cinnamal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Fragrance, Physalis Angulata Extract, Tocopherol, Tocopheryl Acetate, Zingiber Officinale (Ginger) Root Extract."
Origins High-potency Night-a-mins™ Skin Refining Oil,41,4.4,386,"Caprylic/Capric Triglyceride , Dimethicone , Neopentyl Glycol Diheptanoate , Octyldodecanol , Trisiloxane , Olea Europaea (Olive) Fruit Oil , Tricaprylin , Citrus Aurantium Dulcis (Orange) Peel Oil*, Citrus Aurantium Dulcis (Orange) Flower Oil*, Cinnamomum Cassia Leaf Oil*, Ferula Galbaniflua (Galbanum) Resin Oil*, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Vanilla Planifolia Fruit Extract, Valeriana Officinalis Rhizome/Root Extract, Citrus Aurantium Dulcis (Orange) Juice, Limonene, Linalool, Citral , Triticum Vulgare (Wheat) Germ Extract , Barley Extract , Salvia Sclarea (Clary) Extract , Coffea Arabica (Coffee) Seed Extract , Oxycoccus Palustris (Cranberry) Seed Oil , Prunus Armeniaca (Apricot) Kernel Oil , Tocopheryl Acetate , Silybum Marianum Seed Oil , Linoleic Acid , Salicylic Acid , Cholesterol , Phytosterols , Squalane , Tetrahexyldecyl Ascorbate , BHT"
Marula Pure Marula Facial Oil,72,4.3,354,Marula Oil
Pacifica Super Flower Rapid Response Face Oil,16,4.3,264,"helianthus annuus (sunflower) seed oil, carthamus tinctorius (safflower) seed oil, simmondsia chinensis (jojoba) seed oil, tanacetumannuum (blue tansy) leaf oil, rosa canina fruit oil, argania spinsosa (argan) oil, tocopherol acetate (vitamin E), rosa centifolia flower (rose) extract, parfum (natural)"
GLAMGLOW® Starpotion™ Liquid Charcoal Clarifying Oil,54,4.2,261,"Helianthus Annuus (Sunflower) Seed Oil, Heptyl Undecylenate, Isostearyl Linoleate, Dextrin Palmitate, Isodecyl Salicylate, Charcoal Powder, Argania Spinosa Kernel Oil, Curcuma Longa (Turmeric) Root Extract, Salicylic Acid, Tetrahexyldecyl Ascorbate, Calendula Officinalis Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sesamum Indicum (Sesame) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Flower Oil, Aloe Barbadensis Leaf Extract, Tocopherol, Bisabolol, Diisopropyl Adipate, Limonene, Linalool, BHT, Iron Oxides"
Herbivore Orchid Youth Preserving Facial Oil,64,4.5,200,"Capric Triglycerides (Fractionated Coconut Oil), Cymbidium Grandiflorum (Orchid) Flower Extract, Camellia Oleifera (Camellia) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Amaranthus Squalane Oil, Tocopherol (Vitamin E), Jasminum Sambac (Jasmine) Extract."
Murad Multi-Vitamin Infusion Oil,72,4.5,213,"Coconut Alkanes, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Oil, Moringa Oleifera Seed Oil, Coco-Caprylate/Caprate, Ethylene/Propylene/Styrene Copolymer, Tocopheryl Acetate, Tetrahexyldecyl Ascorbate, Cannabis Sativa Seed Oil, Rosa Canina Seed Oil, Retinyl Propionate, Linoleic Acid, Linolenic Acid, Tocopherol, Panthenyl Triacetate, Hexylresorcinol, 7-Dehydrocholesterol, Salicylic Acid, Punica Granatum Sterols, Rosmarinus Officinalis (Rosemary) Leaf Extract, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Zea Mays (Corn) Oil, Butylene/Ethylene/Styrene Copolymer, Fragrance (Parfum), Citral, Linalool, Limonene"
Youth To The People Superberry Hydrate + Glow Oil,44,4.7,190,"Helianthus Annuus (Sunflower) Seed Oil*, Dicapryl Carbonate, Simmondsia Chineses (Jojoba) Seed Oil*, Opuntia Tuna Extract(Prickly Pear), Euterpe Oleracea Fruit Extract (Acai), Lycium Barbarum (Goji) Extract, Aristotelia Chilensis (Maqui) Fruit Extract, And Moringa Oleifera Leaf Extract , Squalane Olive, Mixed Tocopherols (Vitamin E), Olea Europaea (Olive) Oil*, Linum Usitatissimum (Flaxseed) Oil*, Borago Officinalis (Borage) Oil*, Rosa Canina (Rosehip) Fruit Oil*, Oenothera Biennis (Evening Primrose) Oil*, Punica Granatum (Pomegranate) Seed Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Natural Fragrance. *Certified Organic."
ELEMIS Superfood Facial Oil,55,4.5,146,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Caprylic/Capric Triglyceride, Limnanthes Alba (Meadowfoam) Seed Oil, Linum Usitatissimum (Flax) Seed Oil, Macadamia Ternifolia Seed Oil, Oryza Sativa (Rice) Bran Oil, Papaver Somniferum (Poppy) Seed Oil, Rosa Canina (Rosehip) Fruit Oil, Squalane, Raphanus Sativus (Radish) Seed Extract, Cucumis Sativus (Cucumber) Oil, Brassica Oleracea Italica (Broccoli) Seed Oil, Fragrance (Parfum), Limonene, Citrus Aurantium Dulcis (Sweet Orange) Peel Oil, Amyris Balsamifera Bark Oil, Cymbopogon Martini (Palmarosa) Oil, Geraniol, Linalool, Rosmarinus Officinalis (Rosemary) Leaf Oil, Daucus Carota Sativa (Carrot) Seed Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Benzyl Benzoate, Farnesol, Citral, Benzyl Salicylate, Rosmarinus Officinalis (Rosemary) Leaf Extract"
Herbivore Emerald Cannabis Sativa Hemp Seed Deep Moisture Glow Oil,48,4.6,107,"Squalane, Cannabis Sativa (hemp) Seed Oil, Caprylic /Capric Triglyceride (MCT/Fractionated Coconut Oil), Withania Somnifera (Ashwagandha) Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Lentinus Edodes (Shiitake) Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Borago Ocinalis, Tocopheryl Acetate (Vitamin E), Proprietary Blend of Pure Essential Oils and Absolutes, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Amino Esters-1 (ex Mimosa Tenuiflora), Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Ocimum Sanctum Leaf Extract, Ocimum Basilicum (Basil) Flower Extract, Ocimum Basilicum (Basil) Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Ocinalis Extract"
Mario Badescu Rose Hips Nourishing Oil,22,4.5,160,"Propylene Glycol, Aqua (Water), Rosa Canina Fruit Extract, Glycerin, Rosa Canina Fruit Oil, Phenoxyethanol, Hexylene Glycol, Diazolidinyl Urea, PEG-25 Hydrogenated Castor Oil, PEG-40 Hydrogenated Castor Oil, Methylparaben, Propylparaben"
L'Occitane Immortelle Divine Youth Oil,99,4.4,92,"Caprylic/capric triglyceride, helianthus annuus (sunflower) seed oil, octyldodecanol, coco-caprylate/caprate, squalane, borago officinalis seed oil, helichrysum italicum extract helichrysum italicum flower oil, prunus armeniaca (apricot) kernel oil, oenothera biennis (evening primrose) oil, rosa moschata seed oil, myrtus communis oil, hippophae rhamnoide oil, camelina sativa seed oil, pelargonium graveolens oil, citrus aurantium dulcis (orange) oil, echium plantagineum seed oil, tocopherol, parfum/fragrance, limonene, linalool, geraniol, citronellol, citral"
INDIE LEE Squalane Facial Oil,34,4.6,102,Squalane Oil
Herbivore Phoenix Cell Regenerating Facial Oil,88,4.3,76,"Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina (Rosehip) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Salvia Hispanica (Chia) Seed Oil, CoQ10, Hippophae Rhamnoides L (Sea Buckthorn) Oil, Tocopherol (Vitamin E), Rosa Centifolia Flower Extract (Rose Extract), Citrus Aurantium (Neroli) Oil"
Dr Botanicals Moroccan Rose Superfood Facial Oil,50.99,4.7,54,"Aqua (Water), Butylene Glycol, Almond Oil PEG-8 Esters, Olive Oil PEG-7 Esters, PEG-40 Hydrogenated Castor Oil, Benzyl Alcohol, Phenoxyethanol, Tocopheryl Acetate, Bakuchiol, Polylactic Acid, Disodium EDTA, Dehydroacetic Acid, Glycerin, Parfum (Fragrance), Ethylhexylglycerin, Aloe Barbadensis Leaf Juice Powder, Ascorbyl Glucoside, Charcoal Powder, Hippophae Rhamnoides (Seabuckthorn) Fruit Oil, Pumice, Isomalt, Benzyl Salicylate, Glucose, Hexyl Cinnamal, Citronellol, Subtilisin, Hydrolyzed Pearl, Limonene, Pelargonium Graveolens Flower Oil, Butyrospermum Parkii (SheaButter) Seedcake Extract, Geraniol, Linalool, Citrus Aurantium (Neroli) Flower Oil, Rosa Damascena Flower Oil, Carbomer, Sodium Lactate, Lecithin, Rhododendron Ferrugineum Leaf Cell Culture Extract, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Polysorbate 20, Sodium Benzoate, Lactic Acid, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, CI 17200"
Sukin Rose Hip Oil,19.99,4.7,53,Rosa Eglantaria (Rosehip) Oil
Antioxidant Facial Oil by Mad Hippie,24.99,4.5,52,"Argan Oil (Argania Spinosa), Pomegranate Seed Oil (Punica Granatum), Sunflower Seed Oil (Helianthus Annuus), Cranberry Fruit Extract (Vaccinium Macrocarpon), Pomegranate Extract (Punica Granatum) , Blueberry Extact (Vaccinium Angustifolium), Strawberry Fruit Extract (Fragaria Vesca), Kiwi Extract (Actinidia Chinensis), Watermelon Fruit Extract (Citrullus Vulgaris), Grape Seed Extract (Vitis Vinifera), Raspberry Seed Extract (Rubus Idaeus), Camu Camu Fruit Extract (Myrciaria Dubia), Acai Fruit Extract (Euterpe Oleracea), Goji Extract (Lycium Barbarum), Sea Buckthorn Berry Extract (Hippophae Rhamnoides), Hemp Seed Extract (Cannabis Sativa), Broccoli Extract (Brassica Oleracea Italica), Sweet Orange Oil (Citrus Sinensis), Vitamin E (Tocopherol)"
Lancer Omega Hydrating Oil,75,4.5,52,"Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Wax, Olea Europaea (Olive) Husk Oil, Helianthus Annuus (Sunflower) Seed Oil, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Olea Europaea (Olive) Fruit Oil, Isosorbide Dicaprylate, Ethyl Linoleate, Angelica Gigas Root Extract, Lithospermum Erythrorhizon Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Argania Spinosa Kernel Oil, Linum Usitatissimum (Linseed) Seed Oil, Tetrahexyldecyl Ascorbate, Curcuma Longa (Turmeric) Root Oil, Isopropyl Myristate, Chlorophyllin-Copper Complex, Oryza Sativa (Rice) Bran Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Seed Extract, Tocopherol"
First Aid Beauty Ultra Repair Cannabis & Oat Dry Oil,30,4.8,43,"Simmondsia Chinensis (Jojoba) Seed Oil, Isodecyl Neopentanoate, Colloidal Oatmeal, Cannabis Sativa Seed Oil, Borago Officinalis Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea) Oil, Oryza Sativa (Rice) Bran Extract, Camellia Sinensis Leaf Extract, Ribes Nigrum (Black Currant) Seed Extract, Chlorella Vulgaris Extract, Panax Ginseng Root Extract, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Arnica Montana Flower Extract, Glycerin, Vitis Vinifera (Grape) Seed Oil, Tocopheryl Acetate, Ricinoleth-40, Butylene Glycol, Aqua (Water), Leuconostoc/Radish Root Ferment Filtrate, Phenoxyethanol, EDTA, Citric Acid, Limonene, Linalool"
Caudalie Overnight Recovery Oil,50,4.6,48,"Caprylic/Capric Triglyceride, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sesamum Indicum (Sesame) Seed Oil, Cymbopogon Martini Oil, Helianthus Annuus (Sunflower) Seed Oil, Rosa Damascena Flower Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Geraniol, Citronellol, Linalool, Citral, Farnesol, Eugenol, Limonene"
AMOREPACIFIC Botanical Radiance Oil,105,4.4,44,"Camellia Sinensis Leaf Water, Glycerin, Dipropylene Glycol, Alcohol, Methyl Gluceth-20, Butylene Glycol, Peg-60 Hydrogenated Castor Oil, 1-Hexanediol,2-Hexanediol, Water, Xanthan Gum, Octyldodeceth-16, Parfum, Ethylhexylglycerin, Disodium Edta, Brassica Campestris (Rapeseed) Seed Oil, Camellia Sinensis Seed Oil, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Tocopherol"
Beautycounter No. 3 Balancing Facial Oil,69,4.7,57,"Vitis Vinifera (Grape) Seed Oil, Rosa Canina (Dog Rose Or Rose Hip) Fruit Oil, Sclerocarya Birrea (Marula) Oil, Argania Spinosa (Argan) Kernel Oil*, Limnanthes Alba (Meadowfoam) Seed Oil, Hippophae Rhamnoides (Sea-buckthorn) Fruit Oil, Rosa Damascena (Rose) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis Or Citrus Paradisi (Grapefruit) Peel Oil, Cananga Odorata (Ylang Ylang) Flower Oil, Anthemis Nobilis (Chamomile) Flower Oil"
Measurable Difference 7349 Vitamin E Oil Instant Face & Body Moisturizer,17,4.4,34,"Glycine Soja (Soybean) Oil, Olea Europaea (Olive) Fruit Oil, Fragrance, Tocopheryl Acetate (Vitamin E), Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Juice (Aloe Vera), Lavandula Angustifolia (Lavender) Oil, Chamomilla Recutita (Matricaria) Flower Oil, Orbignya Oleifera (Babassu) Seed Oil"
"Majestic Pure Rosehip Oil 100% Pure, Certified Organic Cold Pressed Premium Rose Hip",13.45,4.9,41,Rosehip Oil
Biossance Squalane + Tea Tree Balancing Oil,49,4.7,41,"Squalane, C13-15 Alkane, Caprylic/Capric Triglyceride, Oryza Sativa (Rice) Bran Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Salix Alba (Willow) Bark Extract, Helianthus Annuus (Sunflower) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Physalis Angulata Extract, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Limonene, Linalool"
