,Actual_Ingredient,Map_Ingredient
166,Geraniol,Geraniol
167,Glycine Soja (Soybean) Oil,Soybean Oil
168,Tea Tree Oil,Tea Tree Oil
169,Ascorbyl Palmitate,Ascorbyl Palmitate
170,Citral,Citral
171,Citrus Aurantium Amara (Neroli) Flower Oil,Neroli Flower Extract
172,Limonene,Limonene
173,Tocopherol (Vitamin E),Tocopherol
174,Viola odorata Extract,Violet Extract
175,Geraniol,Geraniol
176,Linalool,Linalool
177,Melaleuca Alternifolia (Tea Tree) Leaf Oil,Tea Tree Oil
178,Retinyl Palmitate,Retinyl Palmitate
179,Rue Extract,Rue Extract
180,Viola tricolor Extract,Violet Extract
181,Eucalyptus Oil,Eucalyptus Oil
182,Farnesol,Farnesol
183,Helianthus Annuus Seed Oil,Sunflower Oil
184,Limonene,Limonene
185,Symphytum officinale Leaf Extract,True Comfrey Leaf Extract
186,Benzyl Benzoate,Benzyl Benzoate
187,Daucus carota sativa (Carrot) Root Extract,Carrot Root Extract
188,Linalool.,Linalool
189,Rosemary Oil,Rosemary Oil
190,Rosmarinus Officinalis (Rosemary) Leaf Extract,Rosemary Extract
191,Citrus Paradisii (Grapefruit) Peel Oil,Grapefruit Peel Oil
192,Limonene,Limonene
193,Tocopherol,Tocopherol
194,Ylang Ylang Oil,Ylang Ylang Oil
195,Clary Sage Oil.,Clary Sage Oil
196,Eugenol,Eugenol
197,Melia Azadirachta (Neem) Leaf Extract,Neem Leaf Extract
198,Retinyl Palmitate,Retinyl Palmitate
199,Benzyl Salicylate,Benzyl Salicylate
200,Beta-Carotene,Beta-Carotene
201,Melia Azadirachta (Neem) Flower Extract,Neem Flower Extract
202,Coccinia Indica Fruit Extract,Ivy Gourd Fruit Extract
203,Fragrance (Parfum)*,Natural Fragrance
204,Lecithin,Lecithin
205,Amino Esters-1,Amino Esters-1
206,Benzyl Alcohol*,Benzyl Alcohol
207,Theobroma Cacao (Cocoa) Seed Butter.,Cocoa Seed Butter
208,Amber Leaf Extract,Amber Leaf Extract
209,Cinnamyl Alcohol*,Cinnamyl Alcohol
210,Citral*,Citral
211,Solanum Melongena (Eggplant) Fruit Extract,Eggplant Fruit Extract
212,Aloe Barbadensis Flower Extract,Aloe Vera Flower Extract
213,Eugenol*,Eugenol
214,Coumarin*,Coumarin
215,Lawsonia Inermis (Henna) Extract,Henna Extract
216,Benzyl Salicylate*,Benzyl Salicylate
217,Ocimum Sanctum Leaf Extract,Tulsi Leaf Extract
218,Geraniol*,Geraniol
219,Ocimum Basilicum (Basil) Leaf Extract,Basil Extract
220,Curcuma Longa (Turmeric) Root Extract,Turmeric Root Extract
221,Linalool*,Linalool
222,Benzyl Benzoate*,Benzyl Benzoate
223,Corallina Officinalis Extract,Corallina Officinalis Extract
224,Citronellol*,Citronellol
225,Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
226,Hexylcinnamal*,Hexyl Cinnamal
227,Pearl Powder,Pearl Powder
228,Limonene*,Limonene
229,Moringa Pterygosperma Seed Oil.,Moringa Seed Oil
230,Passiflora Edulis Seed Oil,Passion Fruit Seed Oil
231,Organic Argania Spinosa (Argan) Kernel Oil,Argan Oil
232,Vitis Vinifera (Grape) Seed Oil,Grape Seed Oil
233,Limnanthes Alba (Meadowfoam) Seed Oil,Meadowfoam Seed Oil
234,Rosa Canina Fruit Oil,Rosehip Oil
235,Tetrahexyldecyl Ascorbate,Tetrahexyldecyl Ascorbate
236,Pelargonium Graveolens Flower Oil,Geranium Flower Oil
237,Fragrance,Natural Fragrance
238,Olea Europaea (Olive) Fruit Oil,Olive Oil
239,Citrus Aurantium Dulcis (Orange) Peel Oil,Orange Peel Oil
240,Lavandula Angustifolia (Lavender) Oil,Lavender Oil
241,Oryza Sativa (Rice) Bran Extract,Rice Bran Extract
242,Camellia Sinensis (Tea) Leaf Extract,Tea Leaf Extract
243,Parfum (Fragrance),Natural Fragrance
244,Argania Spinosa Kernel Oil,Argan Oil
245,Sesamum Indicum (Sesame) Seed Oil,Sesame Oil
246,Rosa Canina (Rosehip) Fruit Oil,Rosehip Oil
247,Rosmarinus Officinalis (Rosemary) Leaf Oil,Rosemary Oil
248,Persea Gratissima (Avocado) Oil,Avocado Oil
249,Rosa Damascena (Rose) Flower Oil,Moroccan Rose Absolute
250,Licorice Root Extract,Licorice
251,Fractionated Coconut Oil,Coconut Oil
252,Aroma**,Natural Fragrance
253,Anthyllis Vulneraria,Anthyllis Vulneraria
254,Herbs Infused in *Golden Simmondsia Chinensis (Jojoba) Seed Oil: *Hypericum Perforatum (St. John’s Wort),St. John’s Wort Extract
255,Camellia Oleifera Seed Oil,Tea-oil camellia
256,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,Bergamot Fruit Oil
257,Rubus Fruticosus (Cold Pressed Blackberry) Seed Oil,Blackberry Seed Oil
258,Chamomilla Recutita (Matricaria) Flower Oil,Matricaria Flower Oil
259,Parfum,Natural Fragrance
260,Lavandula Angustifolia Oil,Lavender Oil
261,helianthus annuus (sunflower) seed oil,Sunflower Oil
262,rosa canina fruit oil,Rosehip Oil
263,Camellia Oleifera (Camellia) Seed Oil,Tea-oil camellia
264,Cannabis Sativa Seed Oil,Cannabis Sativa Seed Oil
265,Oryza Sativa (Rice) Bran Oil,Rice Bran Extract
266,Aqua (Water),Distilled Water
267,PEG-40 Hydrogenated Castor Oil,Castor Oil
268,oenothera biennis (evening primrose) oil,Evening Primrose Oil
269,tocopherol,Tocopherol
270,Ethylhexylglycerin,Ethylhexylglycerin
271,Rosa Damascena Flower Oil,Moroccan Rose Absolute
272,Vitamin E (Tocopherol),Tocopherol
273,Helianthus Annuus (Sunflower) Seed Extract,Sunflower Extract
274,Rosa Canina (Dog Rose Or Rose Hip) Fruit Oil,Rosehip Oil
275,Argania Spinosa (Argan) Kernel Oil*,Argan Oil
276,Hippophae Rhamnoides (Sea-buckthorn) Fruit Oil,Seabuckthorn Oil
277,Rosehip Oil,Rosehip Oil
278,Milk Thistle Seed Oil,Milk Thistle Seed Oil
279,Black Cumin Seed Oil,Black Cumin Seed Oil
280,Cucumber Seed Oil,Cucumber Oil
281,Diisopropyl Sebacate,Diisopropyl Sebacate
282,Olive\xa0Squalane Oil,Squalane
283,SCLEROCARYA BIRREA _x001E_(MARULA)\xa0SEED OIL.,Marula Oil
284,*Vanilla Planifolia (Vanilla) Extract,Vanilla Extract
285,Argan Kernel Oil,Argan Oil
286,Hippophae Rhamnoides Oil,Seabuckthorn Oil
287,Ros- marinus Officinalis (Rosemary) Leaf Extract,Rosemary Extract
288,Vaccinium Macrocarpon (Cran- berry) Seed Oil,Cranberry Seed Oil
289,Citrus Aurantium Sinensis Peel Extract,Bitter Orange Peel Extract
290,Citrus Limon (Lemon) Peel Oil,Lemon Peel Oil
291,Persea Gratissima (Extra Virgin-Cold Pressed Avocado) Oil,Avocado Oil
292,Vitis Vinifera (Organic-Cold Pressed Concord Grape) Seed Oil,Grape Seed Oil
293,Salvia Hispanica (Cold Pressed Chia) Oil,Chia Oil
294,Tanecetum annuum (Blue Tansy) oil,Blue Tansy Leaf Oil
295,Anthemis nobilis (English Chamomile) oil,Chamomile Oil
296,Eriocephalus punctulatus (Cape Chamomile) oil,Chamomile Oil
297,Citrus Aurantium Amara (Neroli) Oil,Neroli Oil
298,Citrus Aurantium Dulcis (Blood Orange) oil,Blood Orange Oil
299,Cananga Odorata Flower (Ylang Ylang) Oil,Ylang Ylang Oil
300,Vetivera zizanoides (Vetiver) oil,Vetiver Oil
301,Helianthus Annuus (Sunflower) Seed Oil,Sunflower Oil
302,Rosmarinus officinalis (Rosemary) Leaf Extract,Rosemary Extract
303,Olea Europaea Fruit Oil,Olive Oil
304,Simmondsia Chinensis Seed Oil,Jojoba Oil
305,Nigella Sativa Seed Oil,Black Cumin Seed Oil
306,Rosmarinus Officinalis Leaf Oil,Rosemary Oil
307,Origanum Majorana Leaf Oil,Marjoram Leaf Oil
308,Anthemis Nobilis Flower Oil,Chamomile Oil
309,Lavandula Hybrida Oil,Lavandin Oil
310,Citrus Aurantium Dulcis Peel Oil,Sweet Orange Oil
311,Vaccinium Corymbosum (Cold Pressed Blueberry) Seed Oil,Blueberry Seed Oil
312,Vitis Vinifera (Cold Pressed Chardonnay Grape Seed Oil) Seed Oil,Grape Seed Oil
313,Vaccinium Macrocarpon (Cold Pressed Cranberry) Seed Oil,Cranberry Seed Oil
314,Rubus Idaeus (Cold Pressed Red Raspberry) Seed Oil,Raspberry Seed Oil
315,Daucus Carota Sativa (Cold Pressed Wild Carrot) Seed Oil,Carrot Seed Oil
316,Nigella Sativa (Cold Pressed Black Cumin) Seed Oil,Black Cumin Seed Oil
317,Brassica Oleracea Italic (Cold Pressed Broccoli) Seed Oil,Broccoli Seed Oil
318,Rosa Gallica Flower Powder,Rose Extract
319,Zingiber Officinale (Ginger) Root Extract.,Ginger Root Extract
320,Citrus Aurantium Dulcis (Orange) Peel Oil*,Orange Peel Oil
321,Citrus Aurantium Dulcis (Orange) Flower Oil*,Neroli Oil
322,Cinnamomum Cassia Leaf Oil*,Cinnamon Leaf Oil
323,Ferula Galbaniflua (Galbanum) Resin Oil*,Galbanum Resin Oil
324,Citrus Aurantium Amara (Bitter Orange) Peel Extract,Bitter Orange Peel Extract
325,Vanilla Planifolia Fruit Extract,Vanilla Extract
326,Valeriana Officinalis Rhizome/Root Extract,Valeriana Officinalis Root Extract
327,Citrus Aurantium Dulcis (Orange) Juice,Orange Juice
328,Triticum Vulgare (Wheat) Germ Extract,Wheat Germ Extract
329,Hordeum Vulgare (Barley) Extract\\Extrait D'Orge,Barley Extract
330,Salvia Sclarea (Clary) Extract,Clary Sage Extract
331,Coffea Arabica (Coffee) Seed Extract,Coffee Seed Extract
332,Oxycoccus Palustris (Cranberry) Seed Oil,Cranberry Seed Oil
333,Silybum Marianum Seed Oil,Milk Thistle Seed Oil
334,Bht * Essential Oil,BHT
335,BHT,BHT
336,Cymbidium Grandiflorum (Orchid) Flower Extract,Orchid Flower Extract
337,Amaranthus Squalane Oil,Squalane
338,Jasminum Sambac (Jasmine) Extract.,Jasmine Extract
339,Cocos Nucifera (Coconut) Oil,Coconut Oil
340,Rosa Canina Seed Oil,Rosehip Oil
341,Helianthus Annuus (Sunflower) Extract,Sunflower Extract
342,Zea Mays (Corn) Oil,Corn Oil
343,Simmondsia Chineses (Jojoba) Seed Oil*,Jojoba Oil
344,Opuntia Tuna Extract(Prickly Pear),Prickly Pear Seed Oil
345,Euterpe Oleracea Fruit Extract (Acai),Acai Fruit Extract
346,Lycium Barbarum (Goji) Extract,Goji Extract
347,Aristotelia Chilensis (Maqui) Fruit Extract,Maqui Fruit Extract
348,And Moringa Oleifera Leaf Extract,Moringa Leaf Extract
349,Squalane Olive,Squalane
350,Mixed Tocopherols (Vitamin E),Tocopherol
351,Linum Usitatissimum (Flaxseed) Oil*,Flaxseed Oil
352,Borago Officinalis (Borage) Oil*,Borage Oil
353,Rosa Canina (Rosehip) Fruit Oil*,Rosehip Oil
354,Punica Granatum (Pomegranate) Seed Oil*,Pomegranate Seed Oil
355,Vaccinium Macrocarpon (Cranberry) Seed Oil*,Cranberry Seed Oil
356,Natural Fragrance. *Certified Organic.,Natural Fragrance
357,Macadamia Ternifolia Seed Oil,Macadamia Ternifolia Seed Oil
358,Papaver Somniferum (Poppy) Seed Oil,Poppy Seed Oil
359,Raphanus Sativus (Radish) Seed Extract,Radish Seed Extract
360,Cucumis Sativus (Cucumber) Oil,Cucumber Oil
361,Brassica Oleracea Italica (Broccoli) Seed Oil,Broccoli Seed Oil
362,Citrus Aurantium Dulcis (Sweet Orange) Peel Oil,Sweet Orange Oil
363,Amyris Balsamifera Bark Oil,Amyris Balsamifera Bark Oil
364,Cymbopogon Martini (Palmarosa) Oil,Palmarosa Oil
365,Daucus Carota Sativa (Carrot) Seed Oil,Carrot Seed Oil
366,Cannabis Sativa (hemp) Seed Oil,Cannabis Sativa Seed Oil
367,Withania Somnifera (Ashwagandha) Leaf Extract,Ashwagandha Leaf Extract
368,Helianthus Annuus (Sunflower) Seed Oil,Sunflower Oil
369,Lentinus Edodes (Shiitake) Extract,Shiitake Extract
370,Ocimum Basilicum (Basil) Flower Extract,Basil Extract
371,Rosa Canina Fruit Extract,Rosehip Oil
372,squalane,Squalane
373,borago officinalis seed oil,Borage Oil
374,helichrysum italicum extract helichrysum italicum flower oil,Helichrysum Italicum Extract
375,prunus armeniaca (apricot) kernel oil,Apricot Kernel Oil
376,rosa moschata seed oil,Musk Rose Seed Oil
377,myrtus communis oil,Mirtle Oil
378,hippophae rhamnoide oil,Seabuckthorn Oil
379,camelina sativa seed oil,Flaxseed Oil
380,pelargonium graveolens oil,Geranium Oil
381,citrus aurantium dulcis (orange) oil,Neroli Oil
382,echium plantagineum seed oil,Purple Viper's-bugloss seed oil
383,parfum/fragrance,Natural Fragrance
384,limonene,Limonene
385,linalool,Linalool
386,geraniol,Geraniol
387,citronellol,Citronellol
388,citral,Citral
389,Squalane Oil,Squalane
390,Salvia Hispanica (Chia) Seed Oil,Chia Oil
391,Hippophae Rhamnoides L (Sea Buckthorn) Oil,Seabuckthorn Oil
392,Rosa Centifolia Flower Extract (Rose Extract),Rose Extract
393,Citrus Aurantium (Neroli) Oil,Neroli Oil
394,Aqua (Water),Distilled Water
395,Almond Oil PEG-8 Esters,Almond Oil
396,Olive Oil PEG-7 Esters,Olive Oil
397,Aloe Barbadensis Leaf Juice Powder,Aloe Vera Leaf Juice
398,Hippophae Rhamnoides (Seabuckthorn) Fruit Oil,Seabuckthorn Oil
399,Butyrospermum Parkii (SheaButter) Seedcake Extract,Shea Butter Seedcake Extract
400,Citrus Aurantium (Neroli) Flower Oil,Neroli Oil
401,Rhododendron Ferrugineum Leaf Cell Culture Extract,Rhododendron Ferrugineum Leaf Cell Culture Extract
402,Rosa Eglantaria (Rosehip) Oil,Rosehip Oil
403,Argan Oil (Argania Spinosa),Argan Oil
404,Pomegranate Seed Oil (Punica Granatum),Pomegranate Seed Oil
405,Sunflower Seed Oil (Helianthus Annuus),Sunflower Oil
406,Cranberry Fruit Extract (Vaccinium Macrocarpon),Cranberry Fruit Extract
407,Pomegranate Extract (Punica Granatum),Pomegranate Extract
408,Blueberry Extact (Vaccinium Angustifolium),Blueberry Extract
409,Strawberry Fruit Extract (Fragaria Vesca),Strawberry Fruit Extract
410,Kiwi Extract (Actinidia Chinensis),Kiwi Extract
411,Watermelon Fruit Extract (Citrullus Vulgaris),Watermelon Fruit Extract
412,Grape Seed Extract (Vitis Vinifera),Grape Seed Extract
413,Raspberry Seed Extract (Rubus Idaeus),Raspberry Seed Extract
414,Camu Camu Fruit Extract (Myrciaria Dubia),Camu Camu Fruit Extract
415,Acai Fruit Extract (Euterpe Oleracea),Acai Fruit Extract
416,Goji Extract (Lycium Barbarum),Goji Extract
417,Sea Buckthorn Berry Extract (Hippophae Rhamnoides),Sea Buckthorn Berry Extract
418,Hemp Seed Extract (Cannabis Sativa),Hemp Seed Extract
419,Broccoli Extract (Brassica Oleracea Italica),Broccoli Extract
420,Sweet Orange Oil (Citrus Sinensis),Neroli Oil
421,Simmondsia Chinensis (Jojoba) Seed Wax,Jojoba Oil
422,Olea Europaea (Olive) Husk Oil,Olive Husk Oil
423,Lithospermum Erythrorhizon Root Extract,Gromwell Root Extract
424,Glycyrrhiza Uralensis (Licorice) Root Extract,Licorice
425,Linum Usitatissimum (Linseed) Seed Oil,Flaxseed Oil
426,Curcuma Longa (Turmeric) Root Oil,Turmeric Root Oil
427,Butyrospermum Parkii (Shea) Oil,Shea Oil
428,Ribes Nigrum (Black Currant) Seed Extract,Black Currant Seed Extract
429,Chrysanthemum Parthenium (Feverfew) Extract,Feverfew Extract
430,Brassica Campestris (Rapeseed) Seed Oil,Rapeseed Seed Oil
431,Camellia Sinensis Seed Oil,Tea-oil camellia
432,Sclerocarya Birrea (Marula) Oil,Marula Oil
433,Citrus Grandis Or Citrus Paradisi (Grapefruit) Peel Oil,Grapefruit Peel Oil
434,Cananga Odorata (Ylang Ylang) Flower Oil,Ylang Ylang Oil
435,Anthemis Nobilis (Chamomile) Flower Oil,Chamomile Oil
436,Aloe Barbadensis Leaf Juice (Aloe Vera),Aloe Vera Leaf Juice
437,Orbignya Oleifera (Babassu) Seed Oil,Babassu Seed Oil
438,Salix Alba (Willow) Bark Extract,Willow Bark Extract
439,Ribes Nigrum (Black Currant) Seed Oil,Black Currant Seed Oil
440,Citrus Nobilis (Mandarin Orange) Peel Oil,Mandarin Orange Peel Oil
441,Citrullus Lanatus (Watermelon) Seed Oil,Watermelon Seed Oil
442,jojoba oil,Jojoba Oil
443,argan oil,Argan Oil
444,ORYZA SATIVA (RICE) BRAN OIL,Rice Bran Oil
445,ALEURITES MOLUCCANA SEED OIL,Kukui Nut Oil
446,ORYZA ATIVA (RICE) EXTRACT,Rice Extract
447,WATER/EAU,Distilled Water
448,PARFUM/FRAGRANCE,Natural Fragrance
449,Carthamus Tinctorius (Safflower) Seed Oil*,Safflower Seed Oil
450,fragrance,Natural Fragrance
451,sunflower seed cake,Sunflower Seed Cake
452,hordeum vulgare extract,Barley Extract
453,cucumber extract,Cucumber Extract
454,rice bran extract,Rice Bran Extract
455,rosemary leaf extract,Rosemary Extract
456,sunflower extract,Sunflower Extract
457,bht,BHT
458,rosehip seed oil,Rosehip Oil
459,camellia seed oil,Tea-oil camellia
460,grape seed oil,Grape Seed Oil
461,apricot kernel seed oil,Apricot Kernel Oil
462,sunflower seed oil,Sunflower Oil
463,Organic Cucurbita Pepo (Pumpkin) Seed Oil*,Pumpkin Seed Oil
464,argania spinosa (argan) oil,Argan Oil
465,prunus dulcis (sweet almond) oil,Sweet Almond Oil
466,prunus armeniaca (apricot kernel) oil,Apricot Kernel Oil
467,simmondsia chinensis (jojoba) oil,Jojoba Oil
468,rosa canina (rosehip seed) oil,Rosehip Oil
